,Unnamed: 0,confidence,start_second,text,sentiment_score,key_phrases
0,0,0.821972,0,yes,0.99544232668,[u'']
1,1,0.9007714,10000,second,0.5,[u'']
2,2,0.8024193,100000,hello,0.785586592098,[u'']
3,3,0.7969243,105000,hello,0.785586592098,[u'']
4,4,0.0,110000,,0.5,[u'NaN']
5,5,0.0,115000,,0.5,[u'NaN']
6,6,0.0,120000,,0.5,[u'NaN']
7,7,0.8282496,125000,no I mean I mean,0.5,[u'']
8,8,0.8279326,130000,no I mean I mean,0.5,[u'']
9,9,0.5815412,135000,so we can I do people screwing it up,0.0650034068168,[u'']
10,10,0.437611,140000,I'm drunk,0.0794834163142,[u'']
11,11,0.8716448,145000,is it so is that so difficult to get,0.03459506371,[u'']
12,12,0.6861898,15000,it's been pretty good for my side oh yeah,0.991589768864,[u'']
13,13,0.7972361,150000,no no I'm trying,0.5,[u'']
14,14,0.5498212,155000,trying,0.5,[u'']
15,15,0.0,160000,,0.5,[u'NaN']
16,16,0.9128438,165000,no,0.214061083356,[u'']
17,17,0.5652677,170000,am I pretty much images,0.846565297039,[u'images']
18,18,0.0,175000,,0.5,[u'NaN']
19,19,0.0,180000,,0.5,[u'NaN']
20,20,0.767674,185000,yeah I am thanks thanks thanks,0.99999487401,[u'thanks']
21,21,0.7561539,190000,yeah I am thanks for thanks,0.999880735778,[u'thanks']
22,22,0.8507075,195000,no I'm hungry making some green eyes happy face,0.813872752224,[u'green eyes happy face']
23,23,0.7397144,20000,it's been pretty good for my side oh yeah what can I say,0.990700472367,[u'']
24,24,0.8008212,200000,making some green eyes happy face,0.965009640296,[u'green eyes happy face']
25,25,0.0,205000,,0.5,[u'NaN']
26,26,0.0,210000,,0.5,[u'NaN']
27,27,0.0,215000,,0.5,[u'NaN']
28,28,0.0,220000,,0.5,[u'NaN']
29,29,0.9433541,225000,no,0.214061083356,[u'']
30,30,0.9431865,230000,no,0.214061083356,[u'']
31,31,0.0,235000,,0.5,[u'NaN']
32,32,0.0,240000,,0.5,[u'NaN']
33,33,0.6953639,245000,no I think we will,0.672385504184,[u'']
34,34,0.7531472,25000,well what could I say others,0.5,[u'']
35,35,0.7648695,250000,no I think we will,0.672385504184,[u'']
36,36,0.5746753,255000,thanks,0.99502110301,[u'thanks']
37,37,0.0,260000,,0.5,[u'NaN']
38,38,0.0,265000,,0.5,[u'NaN']
39,39,0.0,270000,,0.5,[u'NaN']
40,40,0.0,275000,,0.5,[u'NaN']
41,41,0.0,280000,,0.5,[u'NaN']
42,42,0.0,285000,,0.5,[u'NaN']
43,43,0.0,290000,,0.5,[u'NaN']
44,44,0.0,295000,,0.5,[u'NaN']
45,45,0.752955,30000,it's good it's working taking some weird emotions oh yeah there's one thing we have to figure out,0.751889202153,"[u'weird emotions', u'thing']"
46,46,0.0,300000,,0.5,[u'NaN']
47,47,0.0,305000,,0.5,[u'NaN']
48,48,0.0,310000,,0.5,[u'NaN']
49,49,0.0,315000,,0.5,[u'NaN']
50,50,0.0,320000,,0.5,[u'NaN']
51,51,0.5236883,325000,OK thank you,0.998434709077,[u'']
52,52,0.5679374,330000,oh I think we,0.736291727757,[u'']
53,53,0.0,335000,,0.5,[u'NaN']
54,54,0.924976,340000,do you have any,0.5,[u'']
55,55,0.0,345000,,0.5,[u'NaN']
56,56,0.8412985,35000,oh yeah there's there's one thing we have to figure out how do you get the agreement,0.966442065117,"[u'thing', u'agreement']"
57,57,0.0,350000,,0.5,[u'NaN']
58,58,0.0,355000,,0.5,[u'NaN']
59,59,0.9450639,360000,sounds good,0.913452200204,[u'']
60,60,0.0,365000,,0.5,[u'NaN']
61,61,0.7502035,370000,gay guys I think we,0.5,[u'gay guys']
62,62,0.7950956,375000,gay guys at I think we should focus presentation,0.5,"[u'gay guys', u'presentation']"
63,63,0.0,380000,,0.5,[u'NaN']
64,64,0.0,385000,,0.5,[u'NaN']
65,65,0.0,390000,,0.5,[u'NaN']
66,66,0.0,395000,,0.5,[u'NaN']
67,67,0.8657342,40000,get the agreement with in the emotions but I think that's it,0.812193006022,"[u'agreement', u'emotions']"
68,68,0.0,400000,,0.5,[u'NaN']
69,69,0.0,405000,,0.5,[u'NaN']
70,70,0.0,410000,,0.5,[u'NaN']
71,71,0.0,415000,,0.5,[u'NaN']
72,72,0.8469504,420000,yes yes we are,0.998630953468,[u'']
73,73,0.8217517,425000,yes yes we are,0.998630953468,[u'']
74,74,0.5029141,430000,stop by today,0.15811793664,[u'today']
75,75,0.9437482,435000,OK,0.5,[u'OK']
76,76,0.9429242,440000,OK,0.5,[u'OK']
77,77,0.0,445000,,0.5,[u'NaN']
78,78,0.8162292,45000,yeah that sounds like a good idea,0.991995955176,[u'good idea']
79,79,0.5991715,450000,yeah I like trains,0.983214953431,[u'trains']
80,80,0.5991715,455000,yeah I like trains,0.983214953431,[u'trains']
81,81,0.0,460000,,0.5,[u'NaN']
82,82,0.0,465000,,0.5,[u'NaN']
83,83,0.0,470000,,0.5,[u'NaN']
84,84,0.0,475000,,0.5,[u'NaN']
85,85,0.0,480000,,0.5,[u'NaN']
86,86,0.0,485000,,0.5,[u'NaN']
87,87,0.0,490000,,0.5,[u'NaN']
88,88,0.0,495000,,0.5,[u'NaN']
89,89,0.7850227,5000,yes,0.99544232668,[u'']
90,90,0.8252417,50000,yeah that sounds like a good idea,0.991995955176,[u'good idea']
91,91,0.0,500000,,0.5,[u'NaN']
92,92,0.8628319,505000,well I think you're right,0.5,[u'']
93,93,0.8026052,510000,hello I think you're right,0.5,[u'']
94,94,0.0,515000,,0.5,[u'NaN']
95,95,0.0,520000,,0.5,[u'NaN']
96,96,0.0,525000,,0.5,[u'NaN']
97,97,0.0,530000,,0.5,[u'NaN']
98,98,0.0,535000,,0.5,[u'NaN']
99,99,0.9608536,540000,no I'm pretty good,0.921425036567,[u'']
100,100,0.0,545000,,0.5,[u'NaN']
101,101,0.8803661,55000,do I guess,0.825935024698,[u'']
102,102,0.4221905,550000,where is,0.5,[u'']
103,103,0.4290286,555000,ring do,0.726872879869,[u'ring']
104,104,0.7227235,560000,thank you,0.991857917491,[u'']
105,105,0.0,565000,,0.5,[u'NaN']
106,106,0.9439368,60000,yeah definitely,0.99891472544,[u'']
107,107,0.9351727,65000,yeah definitely,0.99891472544,[u'']
108,108,0.0,70000,,0.5,[u'NaN']
109,109,0.0,75000,,0.5,[u'NaN']
110,110,0.0,80000,,0.5,[u'NaN']
111,111,0.0,85000,,0.5,[u'NaN']
112,112,0.0,90000,,0.5,[u'NaN']
113,113,0.0,95000,,0.5,[u'NaN']
